"","g_Phocaeicola","g_Bacteroides","uc_f_Lachnospiraceae","g_Faecalibacterium","g_Streptococcus","g_Prevotella","g_Bifidobacterium","g_Parabacteroides","g_Veillonella","g_Lachnospira","g_Alistipes","g_Oscillibacter","g_Blautia_A","uc_f_Acutalibacteraceae","g_Enterocloster","g_Gemmiger","g_Fusicatenibacter","g_Hungatella_A","uc_f_Ruminococcaceae","g_MD308","g_Anaerostipes","g_Flavonifractor","g_Intestinibacillus","g_Collinsella","g_Haemophilus_D","g_Clostridium","g_Romboutsia","g_Faecalibacillus","uc_o_Lachnospirales","g_Bilophila","uc_o_Bacteroidales","uc_o_Oscillospirales","g_Phascolarctobacterium","g_Odoribacter","g_CAG-41","g_Anaerobutyricum","uc_f_Selenomonadaceae","g_Oliverpabstia","g_Ligilactobacillus","g_Allisonella","g_Ruthenibacterium","uc_f_Enterococcaceae","g_Eubacterium_G","g_Sutterella","g_RZYC01","g_UBA1774","g_CABJAA01","g_Roseburia","g_Ruminococcus_F","g_Dorea","g_UMGS1071","g_Fusobacterium_A","g_Butyricimonas","g_Intestinibacter","uc_c_Clostridia","g_Lawsonibacter","g_Weissella","g_Lactobacillus","g_Limosilactobacillus","g_Coprococcus","g_Anaeroglobus","g_Erysipelatoclostridium","g_CAG-127","g_Latilactobacillus","g_Akkermansia","g_Rothia","uc_o_Christensenellales","g_Clostridium_AQ","g_Blautia","uc_f_Erysipelotrichaceae","uc_f_Oscillospiraceae","g_Ventrimonas","g_CAJTFG01","g_RQZE01","g_Parasutterella","g_Ruminococcus_C","g_Anaerotignum","g_Granulicatella","g_Schaedlerella","uc_k_Bacteria","g_Turicibacter","uc_f_Anaerovoracaceae","uc_f_Bacteroidaceae","g_Leuconostoc","g_Avimicrobium","g_UBA1417","uc_f_Tannerellaceae"
"pyeong6",8.77545022621561,9.34023491076368,6.99391302186415,6.33624356817865,8.63376779966612,5.74363761684058,6.3739838961615,6.35293048696366,5.94034791108664,5.27537160749339,9.32304182118423,8.78753874357788,5.10134885351413,6.76546276229492,4.64936372977107,6.08938349024712,3.19593006581355,5.07624293238305,7.08434320560256,-0.815228484333336,3.91647622056161,5.03294612662973,-0.815228484333336,5.57855786648113,2.60814340091143,1.69185266903728,1.4041705965855,3.60139517392172,2.09731777714544,5.6285682870558,6.47934441181932,6.20271217555413,8.01351983975288,5.88905461669909,-0.815228484333336,-0.815228484333336,-0.815228484333336,3.73954551240253,-0.815228484333336,0.998705488477333,5.78619723125938,6.23514745130728,2.2514684569727,4.52506601309349,-0.815228484333336,6.31437149335998,8.04535276632609,4.6230464214537,5.6285682870558,2.09731777714544,4.7363751067607,3.60139517392172,5.21821319365344,-0.815228484333336,6.66513217658976,2.2514684569727,4.94994920705876,-0.815228484333336,-0.815228484333336,3.8609063694068,-0.815228484333336,-0.815228484333336,-0.815228484333336,2.38499984959722,5.48734185820947,-0.815228484333336,5.29599089469612,5.41150378181797,-0.815228484333336,-0.815228484333336,7.8572705232687,-0.815228484333336,-0.815228484333336,3.8609063694068,4.25680202649881,-0.815228484333336,2.09731777714544,3.35008074564081,2.2514684569727,3.96911995404703,-0.815228484333336,3.73954551240253,-0.815228484333336,3.30129058147138,4.51025092730835,2.94461563753265,8.36325250273297
"pyeong7",7.67590068634485,6.28544831507629,8.00324225214802,8.98587695312099,5.87161495729761,11.1206052508606,3.57739811397408,5.34810417400431,7.06502800140855,6.90213432954176,5.73206307689151,6.41550144332449,4.91020379014299,7.77460006163589,3.80054166528829,5.16151821842389,4.6478395256755,7.76515712083561,5.80651605508626,-0.72192725061559,2.19110375285419,2.19110375285419,4.01026219627036,4.76879213609316,7.53900461959106,4.31136728905428,5.45559008897445,2.19110375285419,4.47688172753186,3.98286322208225,3.83333148811128,5.63045290048072,-0.72192725061559,4.42469597436129,6.46776987187025,-0.72192725061559,1.49795657229425,3.23255762768235,2.96429364108767,1.49795657229425,-0.72192725061559,-0.72192725061559,-0.72192725061559,3.23255762768235,8.84997023077026,6.3680518436115,-0.72192725061559,6.26581234055943,6.07266755079763,3.95469234511555,-0.72192725061559,-0.72192725061559,5.67234384218988,4.51021814779945,3.80054166528829,-0.72192725061559,2.59656886096236,-0.72192725061559,-0.72192725061559,7.53184183528618,-0.72192725061559,-0.72192725061559,3.73154879380134,-0.72192725061559,-0.72192725061559,3.2897160415223,4.1835339175444,-0.72192725061559,-0.72192725061559,3.57739811397408,4.74314970547982,3.57739811397408,5.7746226913103,2.00878219606024,4.1835339175444,-0.72192725061559,2.70192937662018,3.73154879380134,3.69518114963047,1.49795657229425,1.09249146418608,2.96429364108767,2.00878219606024,-0.72192725061559,-0.72192725061559,-0.72192725061559,4.33116991635046
"SML-HA01",8.15233692809364,7.6704988412009,7.06186138081859,8.63162466834503,6.54778900095373,8.53873987543335,7.65360204080742,7.27425038819766,-0.477755882839347,4.13349991837969,4.03818973857536,6.7077300849157,4.37466197519657,6.9631418300683,-0.477755882839347,7.74277848639448,4.10272825971293,6.08803081047891,7.53872956356978,-0.477755882839347,4.82664709893963,-0.477755882839347,-0.477755882839347,4.58823607549463,4.64432554214568,5.33747272270562,7.90451778474138,5.16959185006646,-0.477755882839347,-0.477755882839347,5.92019608565119,-0.477755882839347,-0.909227378662109,5.16959185006646,5.62059897862154,-0.477755882839347,-0.477755882839347,4.56881798963753,-0.477755882839347,-0.477755882839347,-0.477755882839347,6.61587812181433,3.20194171437474,-0.477755882839347,-0.477755882839347,4.64432554214568,4.07097956139835,-0.477755882839347,5.90485051597653,4.89967223395452,-0.477755882839347,-0.477755882839347,4.58823607549463,-0.477755882839347,6.11345590884472,-0.477755882839347,-0.477755882839347,-0.477755882839347,-0.477755882839347,4.10272825971293,-0.477755882839347,-0.477755882839347,-0.477755882839347,-0.477755882839347,-0.477755882839347,3.52736411480937,2.93957744990725,-0.477755882839347,-0.477755882839347,-0.477755882839347,4.74786622108652,-0.477755882839347,-0.477755882839347,-0.477755882839347,-0.477755882839347,-0.477755882839347,-0.477755882839347,-0.477755882839347,-0.477755882839347,-0.477755882839347,-0.477755882839347,-0.477755882839347,5.47327426386468,-0.477755882839347,-0.477755882839347,3.68151479463663,-1.56235558987582
"SML-HA02",7.61848133548539,7.8610793852846,6.14700286719154,-0.234393216092394,9.14710701346692,-0.234393216092394,-0.234393216092394,5.92256982504746,7.44300023466034,-0.234393216092394,-0.234393216092394,-0.234393216092394,6.91701562805035,-0.234393216092394,-0.234393216092394,-0.234393216092394,-0.234393216092394,-0.234393216092394,-0.234393216092394,7.9091176198346,-0.234393216092394,-0.234393216092394,-0.234393216092394,-0.234393216092394,-0.234393216092394,-0.234393216092394,-0.234393216092394,-0.234393216092394,-0.234393216092394,-0.234393216092394,-0.879085773150624,-0.234393216092394,-0.74816099245392,-0.234393216092394,-0.234393216092394,-0.234393216092394,-0.234393216092394,-0.234393216092394,-0.234393216092394,-0.234393216092394,-0.234393216092394,8.39448927930865,-0.234393216092394,-0.234393216092394,-0.234393216092394,-0.234393216092394,-0.234393216092394,-0.234393216092394,-0.234393216092394,-0.234393216092394,-0.234393216092394,-0.234393216092394,-0.234393216092394,-0.234393216092394,-0.234393216092394,-0.234393216092394,9.63598452295767,4.97348927035031,-0.234393216092394,-0.234393216092394,-0.234393216092394,7.39089003777294,-0.234393216092394,8.24369172238385,-0.234393216092394,5.79912563395634,-0.234393216092394,3.07636928546443,-0.234393216092394,6.31286671168245,-0.234393216092394,-0.234393216092394,-0.234393216092394,-0.234393216092394,-0.234393216092394,-0.234393216092394,-0.234393216092394,6.79264771376648,-0.234393216092394,-0.234393216092394,-0.234393216092394,-0.234393216092394,-0.234393216092394,7.93273043532189,-0.234393216092394,-0.733141417557917,-1.40128920366763
"SML-HA03",8.45720573578931,7.74343926802663,4.94487505938359,6.8907852084389,5.79966359149995,-0.205093059175704,-0.852636753627351,-0.205093059175704,-0.205093059175704,4.07987762189699,4.19766065755337,5.97699760678287,-0.205093059175704,8.75153754915391,-0.205093059175704,7.21355860070195,5.75385405546866,-0.205093059175704,6.83406897899705,-0.205093059175704,5.54621469069041,-0.205093059175704,-0.205093059175704,5.68094728466057,-0.205093059175704,5.94524890846829,4.63949340983241,6.0892095973898,-0.205093059175704,-0.779698492673617,2.84773394060435,-0.89756258322263,-1.27312143663152,4.83364942427337,6.34424150207083,4.45717185303845,-0.205093059175704,-0.205093059175704,-0.205093059175704,8.33667166676104,-0.825299147352885,-0.68478394588174,-0.205093059175704,-1.07307340495105,-0.205093059175704,-0.205093059175704,-0.205093059175704,-0.205093059175704,5.82907747670624,-0.205093059175704,-0.205093059175704,-0.205093059175704,-0.205093059175704,-0.205093059175704,5.21931190508535,-0.205093059175704,-0.205093059175704,-0.205093059175704,-0.205093059175704,5.16450366859036,-0.205093059175704,-0.205093059175704,-0.205093059175704,4.81384679697719,5.35617108780255,-0.756439029708824,-0.705250925462474,-0.672653988639297,-0.205093059175704,-1.25810186173551,-1.11071603357064,-0.205093059175704,7.39406362656951,-0.205093059175704,-0.659103947909571,-0.205093059175704,-0.205093059175704,-0.705250925462474,-0.849298379329541,-0.991606395370741,4.23402830172424,-0.205093059175704,-0.825299147352885,4.6630239072426,-0.796888967243039,-1.25810186173551,-1.92624964784522
"SML-HA04",7.96119774988248,6.57093039982581,7.79601632494261,5.21598656859,8.56480711474657,-0.291311013332948,4.71335771202819,3.01876199125378,4.40505635237367,-0.291311013332948,-0.291311013332948,-0.291311013332948,-0.291311013332948,-0.291311013332948,-0.291311013332948,6.1198547804656,-0.291311013332948,-0.291311013332948,-0.291311013332948,-0.291311013332948,-0.291311013332948,-0.291311013332948,-0.291311013332948,5.70433933650393,6.9890539048059,8.54509988619553,9.17267602100372,-0.291311013332948,-0.291311013332948,-0.291311013332948,-1.01713356388907,-0.291311013332948,5.01119215594399,-0.291311013332948,-0.291311013332948,-0.291311013332948,6.250883042872,7.25768778228699,-0.291311013332948,-0.291311013332948,-0.291311013332948,-0.291311013332948,-0.291311013332948,-0.291311013332948,-0.291311013332948,-0.291311013332948,-0.291311013332948,-0.291311013332948,-0.291311013332948,-0.291311013332948,-0.291311013332948,-0.291311013332948,-0.291311013332948,5.82548371986302,-0.291311013332948,-0.291311013332948,-0.291311013332948,-0.291311013332948,-0.291311013332948,-0.291311013332948,-0.291311013332948,3.95703162984671,-0.291311013332948,-0.81544142191205,-0.291311013332948,-0.291311013332948,-0.291311013332948,3.765976393084,-0.291311013332948,5.6418189795226,-0.723803380131487,-0.291311013332948,-0.291311013332948,-0.291311013332948,-0.291311013332948,-0.291311013332948,-0.291311013332948,6.9953235178195,-0.291311013332948,-0.291311013332948,7.75885149514124,-0.291311013332948,-0.291311013332948,4.40505635237367,-0.291311013332948,-0.871189208296363,-1.53933699440607
"SML-HA05",9.12256059838711,7.70214432419796,6.64402339688459,8.64485968931581,5.43208242290948,8.21313522356139,4.51579169103532,5.13636817876043,-0.512879446550027,3.69481113896549,8.11747793344688,7.17465164794676,5.23849767383681,6.34034098308637,-0.512879446550027,8.58516026718725,4.6813061295129,5.29511656783632,7.13900995662084,-0.512879446550027,-0.512879446550027,4.71464254978049,-0.512879446550027,-0.512879446550027,-0.512879446550027,-0.512879446550027,-0.512879446550027,-0.512879446550027,-0.512879446550027,-0.512879446550027,6.10910022153954,3.6482911233306,-0.512879446550027,5.32226755690227,1.29691586616712,-0.512879446550027,-0.512879446550027,-0.512879446550027,-0.512879446550027,-0.512879446550027,-0.512879446550027,-0.512879446550027,6.78378533925975,2.68321022728701,7.33717057744454,5.69751888641394,6.00644606747946,-0.512879446550027,6.68598759598362,-0.512879446550027,-0.512879446550027,-0.512879446550027,5.59420127238591,-0.512879446550027,4.85226392765654,-0.512879446550027,-0.512879446550027,-0.512879446550027,-0.512879446550027,4.77815595550281,5.39126042838922,-0.512879446550027,-0.512879446550027,4.13012921022334,8.71148874751771,-0.512879446550027,5.05811598186069,-0.512879446550027,-0.512879446550027,7.11848137647971,4.73090307065227,-0.512879446550027,-0.512879446550027,-0.512879446550027,-0.512879446550027,-0.512879446550027,-0.512879446550027,-0.512879446550027,-0.512879446550027,-0.512879446550027,2.39552815483523,3.37635740784696,1.70238097427529,3.49414044350334,-0.512879446550027,-0.512879446550027,-1.37329720214575
"SML-HA06",-0.141048021618454,7.39996331633032,4.4311527003426,-0.141048021618454,8.48021655803154,-0.141048021618454,8.59781792414432,-0.141048021618454,-0.141048021618454,-0.141048021618454,-0.141048021618454,-0.141048021618454,6.02166260289118,-0.718332275020494,6.26872170560195,-0.141048021618454,-0.141048021618454,-0.141048021618454,7.60267482882733,7.1475017042595,4.8572370956535,-0.141048021618454,-0.141048021618454,-0.141048021618454,-0.141048021618454,5.2961501378292,9.34265802853166,-0.141048021618454,4.4311527003426,-0.741591737985287,-1.36593946263989,-0.8594558285343,-1.23501468194319,-0.141048021618454,5.17010941693384,-0.141048021618454,-0.141048021618454,-0.141048021618454,-0.141048021618454,-0.654944051798189,-0.787192392664554,-0.64667719119341,-0.141048021618454,-1.03496665026272,-0.141048021618454,-0.141048021618454,-0.141048021618454,-0.141048021618454,-0.723095209950968,-0.141048021618454,3.67346699864508,6.1244720967574,-0.141048021618454,-0.141048021618454,-0.621072010853297,-0.141048021618454,5.30922221939655,2.75717626677093,-0.141048021618454,-0.141048021618454,-0.141048021618454,7.21152356302443,-0.141048021618454,-1.16424732066287,-0.141048021618454,-0.718332275020494,-0.667144170774144,-0.634547233950967,-0.141048021618454,5.57058698353096,-1.07260927888231,-0.141048021618454,-0.141048021618454,-0.141048021618454,-0.620997193221241,-0.141048021618454,-0.141048021618454,5.1085515239344,-0.811191624641211,-0.953499640682411,-0.594525077763572,-0.141048021618454,-0.787192392664554,5.38425740533947,-0.758782212554708,-1.21999510704718,-1.88814289315689
"SML-HA07",9.04023569849847,8.46854538569607,8.35139990186237,9.35567349534242,8.50732447858653,9.72579293839972,9.1816869185358,8.0039691781857,3.59589583457372,4.96820395371887,-0.412458680194772,5.33049688996182,-0.412458680194772,-0.412458680194772,4.51218656644787,7.46012817616552,7.47516605353006,-0.412458680194772,6.57764186615297,-0.412458680194772,5.48464756978908,-0.412458680194772,4.46672419237112,4.78306152058327,5.17143219533214,5.65428396705572,6.79002348975272,4.28904301513366,-0.412458680194772,-0.412458680194772,-0.412458680194772,-0.412458680194772,-0.412458680194772,-0.412458680194772,6.15656253024325,-0.412458680194772,-0.412458680194772,-0.412458680194772,6.80808267129112,-0.412458680194772,-0.412458680194772,-0.412458680194772,3.19043072646555,-0.412458680194772,-0.412458680194772,-0.412458680194772,5.2163835831944,-0.412458680194772,-0.412458680194772,5.37835291113946,4.1395112811627,-0.412458680194772,-0.412458680194772,4.55567167838761,-0.412458680194772,-0.412458680194772,4.03772858685276,-0.412458680194772,-0.412458680194772,-0.412458680194772,4.17125997947728,-0.412458680194772,-0.412458680194772,7.25660441172096,-0.412458680194772,-0.412458680194772,-0.412458680194772,3.96362061469904,-0.412458680194772,-0.412458680194772,-0.412458680194772,-0.412458680194772,-0.412458680194772,-0.412458680194772,-0.412458680194772,-0.412458680194772,-0.412458680194772,5.06223290336715,-0.412458680194772,-0.412458680194772,2.31496198911165,-0.412458680194772,1.3986712572375,3.8835779070255,-0.412458680194772,4.31644198932178,-1.04600685567451
"SML-HA08",7.29918779343918,8.62469923512016,6.29443745839903,8.90717747969692,8.23468507816772,-0.351887694119476,8.12559498392716,5.80447308659076,4.28740849428767,5.0515074108199,-0.351887694119476,3.59426131372773,5.41500831982904,8.15122939789794,-0.351887694119476,7.75038323564607,-0.351887694119476,-0.351887694119476,-0.351887694119476,-0.351887694119476,-0.351887694119476,3.7567802432255,6.91590606368793,7.46791030627426,4.67307097509966,7.70223802473989,4.65286826778214,-0.351887694119476,4.49871758795488,-0.351887694119476,-1.08241913648848,4.44992742378545,6.52309935245169,-0.351887694119476,6.58113090002387,4.42460961580116,-0.351887694119476,-0.351887694119476,6.38866908336215,-0.351887694119476,-0.351887694119476,-0.351887694119476,6.9656057322402,-0.351887694119476,-0.351887694119476,-0.351887694119476,-0.351887694119476,-0.351887694119476,-0.351887694119476,5.52322190446927,-0.351887694119476,-0.351887694119476,-0.351887694119476,-0.351887694119476,-0.351887694119476,-0.351887694119476,6.39225975149288,-0.351887694119476,-0.351887694119476,-0.351887694119476,-0.351887694119476,4.99515447426877,-0.351887694119476,7.22095242404905,4.09325247984672,-0.351887694119476,-0.351887694119476,-0.351887694119476,-0.351887694119476,4.37196588231574,-0.789088952730898,-0.351887694119476,-0.351887694119476,-0.351887694119476,7.5432400256783,2.1473423307914,-0.351887694119476,5.50598009803476,-0.351887694119476,-0.351887694119476,-0.351887694119476,-0.351887694119476,-0.351887694119476,4.3986341293979,-0.351887694119476,-0.936474780895773,-1.60462256700548
